Title,Artist,ReleaseDate,Info,MetaScore,UserScore,Cover
Ten Freedom Summers,Wadada Leo Smith,"May 22, 2012",The four-disc set from the jazz trumpeter was inspired by the Civil Rights Movement.,99,4.1,https://static.metacritic.com/images/products/music/4/b7d7ac01ded710609e22f23086fe9c69-98.jpg
Fetch the Bolt Cutters,Fiona Apple,"April 17, 2020","The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.",98,8.1,https://static.metacritic.com/images/products/music/6/3fac9024d9a862da5cb23f87a4853448-98.jpg
SMiLE,Brian Wilson,"September 28, 2004","Well, better 37 years late than never. Originally intended to be the Beach Boys' 1967 follow-up to their legendary 'Pet Sounds,' 'Smile' was finally recorded as originally intended in April 2004 by Wilson and his current band, including co-songwriter Van Dyke Parks.",97,7.9,https://static.metacritic.com/images/products/music/1/e735bf38ca5df5fbeb5f25c738f124fc-98.jpg
Van Lear Rose,Loretta Lynn,"April 27, 2004","It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.",97,8.4,https://static.metacritic.com/images/products/music/8/c53f80d40f680b29bd0c2fbffa69a812-98.jpg
To Pimp A Butterfly,Kendrick Lamar,"March 16, 2015","The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.",96,8.9,https://static.metacritic.com/images/products/music/3/323ffc6b09737dc2dbb7d511772466e0-98.jpg
Ghosteen,Nick Cave & The Bad Seeds,"October 4, 2019",The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.,96,8.6,https://static.metacritic.com/images/products/music/7/7070c2a7429b968cb5357f7e222fd7b7-98.jpg
Histoire de Melody Nelson,Serge Gainsbourg,"March 24, 2009",The US release of Serge Gainsbourg's 1971 album featuring Jane Birkin in the classic Ballade de Melody Nelson.,96,8.0,https://static.metacritic.com/images/products/music/6/aad13ce0577c8d8a1d19af9c7066fc8e-98.jpg
DAMN.,Kendrick Lamar,"April 14, 2017","The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.",95,8.4,https://static.metacritic.com/images/products/music/1/413ce2e1200981ad7114c3b04836378a-98.jpg
Stankonia,Outkast,"October 31, 2000","Featuring the hit singles ""B.O.B."" and ""Ms. Jackson,"" 'Stankonia' was a commercial and critical hit for the innovative Atlanta hip-hop duo of Dré and Big Boi.",95,8.8,https://static.metacritic.com/images/products/music/9/a3556781d32c32679cf702fe517c67c5-98.jpg
Rough and Rowdy Ways,Bob Dylan,"June 19, 2020",The first new studio release of new music for the singer-songwriter in eight years.,95,7.6,https://static.metacritic.com/images/products/music/6/2750f1d58951e93ecfa71f5c0ef6258d-98.jpg
Black Messiah,D'Angelo,"December 15, 2014","The first release in 14 years for the R&B singer features songs co-written with Q-Tip and Kendra Foster as well as co-production from James Gadson, Pino Palladino,and Questlove.",95,8.8,https://static.metacritic.com/images/products/music/1/ac6e4af86fb3cf602a737686bc332014-98.jpg
Conflict Of Interest,Ghetts,"February 19, 2021","The third full-length studio release for the British grime artist features guest appearances from BackRoad Gee, Dave, Giggs, Hamzaaand, Jaykae, Aida Lae, Miraa May, Pa Salieu, Emeli Sande, Moonchild Sanelly, Ed Sheeran, Skepta, Stormzy, and Wretch 32.",95,6.5,https://static.metacritic.com/images/products/music/1/fa7c0f06c906afa821fc713dbc1c2be3-98.jpg
Skeleton Tree,Nick Cave & The Bad Seeds,"September 9, 2016","Nick Cave's 15-year-old son died in an accident while he was working on the alternative rock band's 16th album. The recording sessions were filmed for Andrew Dominik's documentary, One More Time With Feel.",95,8.3,https://static.metacritic.com/images/products/music/7/b93b92cd67e83a3fa4fd2b4c76c3dd61-98.jpg
Savane,Ali Farka Toure,"July 25, 2006","'Savane' is the final album from the acclaimed guitarist from Mali, who died in March 2006 after a three-decade recording career which found him injecting American blues into traditional African music.",94,8.4,https://static.metacritic.com/images/products/music/2/156b9af1e22756b3bb7012fcf006748b-98.jpg
My Beautiful Dark Twisted Fantasy,Kanye West,"November 22, 2010","Breaking traditional mainstream hip-hop guidelines, Kanye West's latest release features epic raps and long instrumental variations for his most innovative album to date.",94,8.4,https://static.metacritic.com/images/products/music/7/286dff36d049c2e05fcd9878602c1744-98.jpg
Motomami,Rosalía,"March 18, 2022",The third full-length release for Spanish singer-songwriter Rosalía features guest appearances from Tokischa and The Weeknd.,94,8.6,https://static.metacritic.com/images/products/music/9/d468bc0db5adec8dfc03022307f73235-98.jpg
"Desire, I Want To Turn into You",Caroline Polachek,"February 14, 2023",The second full-length solo release for Caroline Polachek features guest appearances from Dido and Grimes.,94,8.9,https://static.metacritic.com/images/products/music/8/d6877303b344aa1474d889cdd2277344-98.jpg
Madvillainy,Madvillain,"March 23, 2004",'Madvillainy' is a collaboration between rapper MF Doom and producer Madlib.,93,8.9,https://static.metacritic.com/images/products/music/7/575c7a11d613427e1a6fb256431c5125-98.jpg
A Crow Looked at Me,Mount Eerie,"March 24, 2017",The eighth full-length release for the music project of Phil Elverum was written after the death of his wife from cancer in July 2016.,93,8.0,https://static.metacritic.com/images/products/music/5/92d7b198066d1163787019683db0ccc0-98.jpg
Room 25,Noname,"September 14, 2018",The debut full-length release for the Los Angeles-based Chicago rapper was self-released.,93,8.4,https://static.metacritic.com/images/products/music/4/9d147af8b42ce87058d1e74f3bb7f12d-98.jpg
Live At Reading,Nirvana,"November 3, 2009",The entire performance by Nirvana at 1992's Reading Festival is released both as a CD and DVD.,93,8.7,https://static.metacritic.com/images/products/music/1/ffc562310caf1da3454e8576fb07b337-98.jpg
Love And Theft,Bob Dylan,"September 11, 2001","Picking up where 1997's resurgent 'Time Out of Mind' left off, 'Love And Theft' finds the 60-year-old Dylan self-producing the album's 12 tracks.",93,8.7,https://static.metacritic.com/images/products/music/0/612eb7b85bd251069e400ac6bf075504-98.jpg
My Dusty Road,Woody Guthrie,"August 25, 2009",The four-disc set includes Woody Guthrie's recordings from the mid-1940s in a definitive collection.,93,7.2,https://static.metacritic.com/images/products/music/0/0ad83b76fee592d7b9a195dee9d2c86d-98.jpg
On the Impossible Past,The Menzingers,"February 21, 2012",The third full-length release from the punk rock band from Pennsylvania is its first on Epitaph Records.,93,8.0,https://static.metacritic.com/images/products/music/1/d853ea0c96c9887711eebb7e789d9be7-98.jpg
Supernova,Nova Twins,"June 17, 2022",The second full-length release for British rock duo Nova Twins was produced with Jim Abbiss.,92,6.7,https://static.metacritic.com/images/products/music/9/9e1c7abe1c649ce99142bed32a2e4a3b-98.jpg
Prioritise Pleasure,Self Esteem,"October 22, 2021",The second full-length solo release for Slow Club's Rebecca Taylor was produced by Johan Karlberg.,92,7.7,https://static.metacritic.com/images/products/music/6/704830deabe7a1d3bfb33017bd4ef87f-98.jpg
Lemonade,Beyoncé,"April 23, 2016",The sixth solo studio album for the singer premiered as an hour-long HBO special before streaming on Tidal. A physical release is set for May 6.,92,8.0,https://static.metacritic.com/images/products/music/9/db45c5f14e2271eda363d1dcc264f384-98.jpg
Ants From Up There,"Black Country, New Road","February 4, 2022","The second full-length release for the British post-rock band Black Country, New Road is its last with frontman and co-founder Isaac Wood, who announced he was leaving the band in January 2022.",92,8.7,https://static.metacritic.com/images/products/music/8/9c17fee3e23f4595f9a424bbc57f055a-98.jpg
Pull Up Some Dust and Sit Down,Ry Cooder,"August 29, 2011",The Grammy-award winning musician returns with a concept album about corruption in America.,92,6.9,https://static.metacritic.com/images/products/music/7/f755220b23ba511ce307924cee2fd3a8-98.jpg
Sunbather,Deafheaven,"June 11, 2013",The second full-length studio release for the San Francisco-based black metal band formed by George Clarke and Kerry McCoy was produced by Jack Shirley.,92,8.5,https://static.metacritic.com/images/products/music/9/e106cdc133e8927e6b874e64d88d37fc-98.jpg
Glow On,Turnstile,"August 27, 2021",The third full-length release for the Baltimore hardcore punk band features a guest appearance from Blood Orange and was recorded with producer Mike Elizondo.,92,8.5,https://static.metacritic.com/images/products/music/5/860dadaf923a9111460ae1558860250c-98.jpg
"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,"November 21, 2006","Unlike typical rarities compilations, this 3-disc set includes 30 brand-new recordings--in addition to the usual mix of covers, soundtrack selections, and other previously uncompiled material. It's like getting three new Waits albums at once.",92,8.7,https://static.metacritic.com/images/products/music/8/1da6587fa3ad7c246a8ef5d90b1c4322-98.jpg
Time Will Die and Love Will Bury It,Rolo Tomassi,"March 2, 2018",The fifth full-length studio release for the British rock band was recorded and mixed by Lewis Johns.,92,7.3,https://static.metacritic.com/images/products/music/4/d20504db145208224c4db57ea38fb00f-98.jpg
Boy In Da Corner,Dizzee Rascal,"January 20, 2004","This is the debut disc for the 18-year-old London-based rapper (born Dylan Mills), who has been heralded by (among others) Uncut magazine as ""good as any MC currently active on Earth.""",92,8.7,https://static.metacritic.com/images/products/music/3/47e9315d14ce77d9a13d9d08d6fd3eeb-98.jpg
You Want It Darker,Leonard Cohen,"October 21, 2016",The 14th full-length studio release for the Canadian singer-songwriter was produced by his son.,92,8.4,https://static.metacritic.com/images/products/music/7/69e15a12aa20c4393b401b9e4b893f45-98.jpg
Channel Orange,Frank Ocean,"July 17, 2012","Love and life in Los Angeles is the theme of the debut release on Def Jam for Frank Ocean, who earlier this month posted online the liner notes for this album describing a relationship he had with a man.",92,8.9,https://static.metacritic.com/images/products/music/0/596ec57cefdbf2d2e20b581ea0e1a62e-98.jpg
The Satanist,Behemoth,"February 4, 2014","The tenth studio release for the Polish black/death metal band was produced with Daniel Bergstrand, Slawek Wieslawscy and Wojtek Wieslawscy. ",92,8.6,https://static.metacritic.com/images/products/music/8/cb51db3e14bc91d0508d552792d9ab8d-98.jpg
Elephant,The White Stripes,"April 1, 2003","For their major label debut (and fourth LP overall), the Detroit-based duo of Jack and Meg White offer up 14 new tracks, all recorded in London and (fortunately) showing absolutely no trace of major label production values. Meg White takes a rare turn behind the microphone on a couple of tracks, as does guest Holly Golightly on the closing ""It's True That We Love One Another.""",92,8.6,https://static.metacritic.com/images/products/music/3/223c579aeebacd78828385379596ac24-98.jpg
We're All Alone In This Together,Dave,"July 23, 2021","The second full-length studio release for the British rapper features guest appearances from Snoh Aalegra, James Blake, Boj, Stormzy, and WizKid.",92,8.8,https://static.metacritic.com/images/products/music/0/160785fdf9a448e9127b6caae5aa8187-98.jpg
Titanic Rising,Weyes Blood,"April 5, 2019",The fourth full-length release for Natalie Mering was co-produced with Foxygen's Jonathan Rado.,91,9.0,https://static.metacritic.com/images/products/music/2/3722fd5bf9be10cd9088e9aa699c3180-98.jpg
Carnage,Nick Cave & Warren Ellis,"February 25, 2021",The surprise release for the latest full-length collaboration between Nick Cave and Warren Ellis was recorded over a week.,91,7.7,https://static.metacritic.com/images/products/music/4/026f4af0c2db9f9871881bede70b9058-98.jpg
Melodrama,Lorde,"June 16, 2017",The second full-length release for the New Zealand pop singer-songwriter was produced with Jack Antonoff.,91,8.9,https://static.metacritic.com/images/products/music/8/ec2e1bb028ec6ed6784d06baf9758ee9-98.jpg
Speakerboxxx/The Love Below,Outkast,"September 23, 2003","This Grammy-winning follow-up to their smash 2000 hit 'Stankonia' is an OutKast album in name only, as it is structured in the form of two solo discs: one each for Big Boi (Speakerboxxx) and Andre 3000 (The Love Below).",91,8.7,https://static.metacritic.com/images/products/music/9/b0636e23e2f8e5ac9b20601d14491ffb-98.jpg
Set My Heart on Fire Immediately,Perfume Genius,"May 15, 2020",The fifth full-length release for Mike Hadreas as Perfume Genius was produced with Blake Mills.,91,8.5,https://static.metacritic.com/images/products/music/5/1aab12750a57b10ec030003a7aaa7daa-98.jpg
Red (Taylor's Version),Taylor Swift,"November 12, 2021","The new recording of Taylor Swift's fourth studio album features nine previously unreleased songs that include guest appearances from Phoebe Bridgers, Ed Sheeran, and Chris Stapleton.",91,8.9,https://static.metacritic.com/images/products/music/3/ad5f67007321fe77df21843bb0565b4f-98.jpg
"Home, Like Noplace Is There",The Hotelier,"February 25, 2014",This is the second full-length release for the Massachusetts indie rock quartet formerly known as The Hotel Year.,91,8.4,https://static.metacritic.com/images/products/music/2/482901ccd6f743f413516f6d85486c59-98.jpg
"Good Kid, M.A.A.D City",Kendrick Lamar,"October 22, 2012","The official major label debut studio album for the Compton rapper features guest appearances from Dr. Dre, Drake, Jay Rock, And MC Eiht.",91,8.9,https://static.metacritic.com/images/products/music/0/ea59796eebb9ef428499475c68123c0f-98.jpg
A Grand Don't Come For Free,The Streets,"May 18, 2004","Mike Skinner returns with the inenviable job of following up his genre-smashing debut 'Original Pirate Material,' which was an enormous critical and commercial hit in the UK and paved the way for the success of later acts such as Dizzee Rascal.",91,7.9,https://static.metacritic.com/images/products/music/1/91f6d8e68ae16c3fd012cb81fc07bf11-98.jpg
The Myth of the Happily Ever After,Biffy Clyro,"October 22, 2021",The latest full-length release for the Scottish alternative rock band was produced with Adam Noble.,91,7.8,https://static.metacritic.com/images/products/music/8/3f66ba56e8190a1a9f04fb37bdd986e8-98.jpg
Renaissance,Beyoncé,"July 29, 2022","The first new studio album for Beyoncé since 2016's Lemonade features contributions from 070 Shake, A.G. Cook, Mike Dean, Drake, Jay-Z, Labrinth, Skrillex, Tems, The-Dream, and The Neptunes.",91,8.7,https://static.metacritic.com/images/products/music/3/7f87291087aaaecf6c679dae4f59709b-98.jpg
Canto,Los Super Seven,"March 13, 2001","The second release from the Latin-folk supergroup, featuring members of Los Lobos.",91,7.6,https://static.metacritic.com/images/products/music/8/6e6100769129b3ddda3a507111efbf2c-98.jpg
Grey Area,Little Simz,"March 1, 2019",The third full-length release for the British rapper Simbi Ajikawo features a guest appearances from Cleo Sol.,91,8.4,https://static.metacritic.com/images/products/music/3/d29cd45033b1a341554b7196ad3882c5-98.jpg
"Sex, Death & The Infinite Void",Creeper,"July 31, 2020",The second full-length release for the British punk rock band led by Will Gould was produced by Xandy Barry.,91,8.0,https://static.metacritic.com/images/products/music/2/17cb4751a6394b268576ee62340eb0ef-98.jpg
The ArchAndroid,Janelle Monáe,"May 18, 2010","The second full-length album for the singer born in Kansas City is a continuation of the story of Cindi Mayweather, the android introduced in the 2007 EP, ""Metropolis Suite I of IV: The Chase.""",91,8.7,https://static.metacritic.com/images/products/music/6/e374510dc57d6091ae71b0f9959f06ca-98.jpg
Gold & Grey,Baroness,"June 14, 2019",The fifth full-length release for the hard rock/metal band is the first with new guitarist Gina Gleason (Peter Adams left the band in 2017).,91,7.4,https://static.metacritic.com/images/products/music/4/5a71297c37555d6cd0277b4233309cc7-98.jpg
Blue Weekend,Wolf Alice,"June 4, 2021",The third full-length release for the British rock band was produced by Markus Dravs.,91,8.8,https://static.metacritic.com/images/products/music/3/32db4d83829bb0694ee4a7d8feaa4328-98.jpg
The  Guitar Song,Jamey Johnson,"September 14, 2010","Jamey Johnson's latest album is a 25-track double album with the first half, The Black Album, devoted to dark emotions and the other half, the White Album, devoted to more positive songs.",91,8.0,https://static.metacritic.com/images/products/music/5/58d40e6e98ce3f23dad976abc482bc85-98.jpg
Is This It?,The Strokes,"October 9, 2001","This is the debut album from New York indie-rockers The Strokes, who have been hyped by the British music press following the release of ""The Modern Age"" EP in early 2001. It almost goes without saying, but the group is frequently compared to the Velvet Underground, among others, thanks in part to singer-songwriter Julian Casablancas' Lou Reed-esque vocals.",91,8.9,https://static.metacritic.com/images/products/music/9/3acfb6b5c71c1d2b1ead87ceaed555d9-98.jpg
We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,"November 11, 2016","Phife Dawg passed away in March 2016 before the final studio release for the rap group that includes guest appearances from such artists as Anderson Paak, Andre 3000, Busta Rhymes, Consequence, Elton John, Talib Kweli, Kendrick Lamar, and Jack White.",91,8.7,https://static.metacritic.com/images/products/music/2/ae1e1a1e8844d333145dd328a9e2b456-98.jpg
S.O.S.,SZA,"December 9, 2022","The second full-length studio release for R&B artist SZA features guest appearances from Phoebe Bridgers, Ol' Dirty Bastard, Travis Scott, and Don Toliver.",90,8.4,https://static.metacritic.com/images/products/music/1/e298c24e008a5326e5561a6535bc8a97-98.jpg
From Here We Go Sublime,The Field,"April 3, 2007","This is the full-length debut for Stockholm, Sweden trance producer Axel Willner.",90,6.7,https://static.metacritic.com/images/products/music/5/4726cceb249a0fc23361ffc7d30f793d-98.jpg
Illinois,Sufjan Stevens,"July 5, 2005","The folk singer-songwriter's ambitious attempt to chronicle all 50 states in song continues with this second installment, dedicated to the Prairie State.",90,8.9,https://static.metacritic.com/images/products/music/9/8cb6b21f173fa38104e1ca93e7f3c270-98.jpg
Carrie & Lowell,Sufjan Stevens,"March 31, 2015","The seventh full-length studio release for the singer-songwriter features contributions from Thomas Bartlett, Sean Carey, Casey Foubert, Ben Lester, Nedelle Torrisi, and Laura Veirs.",90,8.8,https://static.metacritic.com/images/products/music/1/11eb6d49ca3108655c71dba2e134b9b0-98.jpg
Jimmy Lee,Raphael Saadiq,"August 23, 2019","The first full-length release of new material from the R&B artist/producer was inspired by his late brother's struggle with drug addiction and features guest appearances from Rob Bacon, Reverend E. Baker, Ernest Turner, and Daniel J. Watts.",90,5.8,https://static.metacritic.com/images/products/music/9/3d7fd03633de3b15ed0e13b57fee7efb-98.jpg
No Cities to Love,Sleater-Kinney,"January 20, 2015","The first release in ten years for the indie rock trio of Carrie Brownstein, Corin Tucker, and Janet Weiss was produced by John Goodmanson.",90,8.2,https://static.metacritic.com/images/products/music/5/d8dfcf2d27bd4a44dea54ba133202014-98.jpg
Eve,Rapsody,"August 23, 2019","The third full-length studio release for the North Carolina rapper features guest appearances from J. Cole, D'Angelo, GZA, JID, Leikeli47, Mereba], PJ Morton, Queen Latifah, K.Roosevelt, SiR, and Elle Varner.",90,8.1,https://static.metacritic.com/images/products/music/4/9d51ea2a6e92ab8aad63ad74df2b244f-98.jpg
Punisher,Phoebe Bridgers,"June 18, 2020","The second full-length solo release for the singer-songwriter features contributions from Julien Baker, Lucy Dacus, Christian Lee Hutson, Jim Keltner, Warpint's Jenny Lee Lindberg, Blake Mills, Conor Oberst, Bright Eyes' Nathaniel Walcott, and the Yeah Yeah Yeahs' Nick Zinner.",90,8.7,https://static.metacritic.com/images/products/music/2/ba41b72c83d8ba3656f13110fd1258bc-98.jpg
Send Them To Coventry [Mixtape],Pa Salieu,"November 13, 2020","The debut mixtape from the British rapper features guest appearances from Mahalia, M1llionz, BackRoad Gee, Boy Boy, Eight9FLY, Lz Dinero, Ni Santora, Shakavellie, and Stizee.",90,8.0,https://static.metacritic.com/images/products/music/2/d1f0f06d69e2d9d7a1d15777766f4074-98.jpg
Original Pirate Material,The Streets,"October 22, 2002","This is the debut album by the London garage (or in this case, bedroom) band, which consists solely of 21-year-old Mike Skinner. Whether or not this style of music (very English rapping over garage/house beats) will translate well overseas remains to be seen, but garage (and especially Skinner) is the current flavor of the month with the UK music press.",90,8.7,https://static.metacritic.com/images/products/music/4/3a7313e7b3f7627e6576c45b0e67cd9a-98.jpg
Candi Staton,Candi Staton,"February 24, 2004",This 26-track disc compiles (for the first time on CD) songs from the acclaimed soul singer's 1969-1973 Muscle Shoals period when she recorded for Fame Records--a period that netted her 12 consecutive Billboard R&B hits.,90,8.6,https://static.metacritic.com/images/products/music/9/1ce84501a518e5cb448415a554785ebc-98.jpg
Alice,Tom Waits,"May 7, 2002","One of two Waits releases in May 2002 ('Blood Money' is the other), 'Alice' was originally written as an opera and actually performed live during an 18-month engagement in Hamburg in the early 1990s. However, this is the first recording of these 15 tracks, culled from recent studio sessions.",90,8.6,https://static.metacritic.com/images/products/music/9/9122acacf5c6e418d3d3a358bcba8131-98.jpg
Funeral,Arcade Fire,"September 14, 2004",The Montreal band founded by husband and wife Win Butler and Régine Chassagne make their full-length debut with this highly anticipated disc.,90,8.9,https://static.metacritic.com/images/products/music/4/46008c097743f3005cb83f04147d80a6-98.jpg
Holy Hell,Architects,"November 9, 2018","The eighth full-length release for the British metalcore band is its first without Tom Searle, who passed away in August 2016. ",90,8.7,https://static.metacritic.com/images/products/music/6/559522c230022dd82332ed372b8fe1f8-98.jpg
London Zoo,The Bug,"August 12, 2008",The third album for the artist/music producer Kevin Martin as The Bug.,90,6.5,https://static.metacritic.com/images/products/music/9/1fe30802fbec751032731c198eaa2908-98.jpg
Jama Ko,Bassekou Kouyate & Ngoni Ba,"April 2, 2013",The third release for Bassekou Kouyate introduces a new group of ngoni players and was co-produced with Howard Bilerman.,90,6.3,https://static.metacritic.com/images/products/music/5/9b96cad1008e64ef0a2034c0d2452006-98.jpg
Sir Lucious Left Foot: The Son of Chico Dusty,Big Boi,"July 6, 2010","OutKast's Big Boi goes solo with an album featuring guest appearances from such artists as Jamie Foxx, Janelle Monae, B.o.B., Gucci Mane, Too Short, and George Clinton.",90,8.8,https://static.metacritic.com/images/products/music/2/e3b43034675c8b251d0465c0cf48d45e-98.jpg
Psychodrama,Dave,"March 8, 2019",The debut full-length studio release for the British rapper features guest appearances from Burna Boy and J Hus.,90,8.1,https://static.metacritic.com/images/products/music/6/ffcc5bb7ef34ccd906e22bad654d1068-98.jpg
Untrue,Burial,"November 6, 2007",The second album for the London-based anonymous dubstep artist.,90,8.0,https://static.metacritic.com/images/products/music/9/dc284318b0e0247b3d0ec9f1bef12b8c-98.jpg
the record,boygenius,"March 31, 2023",The debut full-length release for indie rock supergroup boygenius was co-produced with Catherine Marks and mixed by Mike Mogis.,90,8.0,https://static.metacritic.com/images/products/music/4/6c55b7bf9a0eca2b8e6b89a3cda67f68-98.jpg
Maps,billy woods,"May 5, 2023","The second full-length collaboration from Brooklyn rapper billy woods and producer Kenny Segal features guest appearances by Aesop Rock, Benjamin Booker, Danny Brown, ELUCID, Sam Herring, and ShrapKnel.",90,8.2,https://static.metacritic.com/images/products/music/7/2beeb05a31e7584fad7c0355b8ed952e-98.jpg
græ,Moses Sumney,"May 15, 2020","The double album (released also as two separate EPs] for the experimental artist features a guest appearance from Jill Scott and elements of folk, jazz, indie rock, pop, and soul music.",90,8.5,https://static.metacritic.com/images/products/music/1/1b24bc0c793dee6a6693d3477d6fcf39-98.jpg
XTRMNTR,Primal Scream,"May 2, 2000","Bobby Gillespie & co. expand on the harder-edged punk/electronica sound of their previous effort, 'Vanishing Point,' with their most violent effort to date, earning rave reviews in the process and perhaps matching the success of their classic 'Screamadelica.' Contributors here include David Holmes, Bernard Sumner, Kevin Shields and the Chemical Brothers.",90,8.6,https://static.metacritic.com/images/products/music/6/1f8e12e3d3a1d6f63dcbd6edc293355b-98.jpg
Spaces,Nils Frahm,"November 19, 2013","Described as a field recording, this latest release from the Berlin-based composer was recorded over two years at various locations with different methods including cassette recordings.",90,8.5,https://static.metacritic.com/images/products/music/9/199b15eca4f2cefb290f2709d44a8c38-98.jpg
Z,My Morning Jacket,"October 4, 2005","For their fourth album, produced by John Leckie, the Kentucky band sports a new keyboardist and guitarist.",90,8.4,https://static.metacritic.com/images/products/music/1/69e4f36549fe06dd72b2fe04d062c6b4-98.jpg
St. Vincent,St. Vincent,"February 25, 2014",The fourth full-length release for the indie artist was produced by John Congleton and includes contributions from Dap-Kings drummer Homer Steinweiss and Midlake's McKenzie Smith.,89,8.6,https://static.metacritic.com/images/products/music/3/0fc22b4dcd317d650011a80e0ddec901-98.jpg
The Dusk in Us,Converge,"November 3, 2017","The ninth full-length release for the Massachusetts metalcore band was mixed by the band's guitarist, Kurt Ballou.",89,7.7,https://static.metacritic.com/images/products/music/6/b5c43fcbd50c06f7bffbe1fdccf17c84-98.jpg
Like a Rose,Ashley Monroe,"March 5, 2013","The second solo album for the Pistol Annies member includes songs co-written with such artists as Sally Barris, Guy Clark, Vince Gill, Lori McKenna, and Jon Randall.",89,7.1,https://static.metacritic.com/images/products/music/3/7e13349d8991623700b19a51b0d152da-98.jpg
RTJ2,Run the Jewels,"October 27, 2014","The latest release from Killer Mike and El-P features collaborations with Travis Barker of Blink-182, Diane Coffee, and Zack de la Rocha formerly of Rage Against the Machine.",89,8.7,https://static.metacritic.com/images/products/music/1/7f50a4c084e32eaf7cc7562382baa728-98.jpg
Rounds,Four Tet,"May 6, 2003",The sample-based indietronica LP 'Rounds' is the third solo effort for Fridge's Kieran Hebden.,89,8.4,https://static.metacritic.com/images/products/music/5/b19ada818fc52552ba3b930c4b056935-98.jpg
Neon Golden,The Notwist,"February 25, 2003","This breaktrhough sixth album for the German band combines a variety of disparate elements, most notably moody indie rock and glitchy electronica (think Hood's Cold House), to great effect.",89,8.7,https://static.metacritic.com/images/products/music/7/857b1e7b5c9e04549fdb66b092fbef79-98.jpg
Since I Left You,The Avalanches,"November 6, 2001","This sample-driven Austrialian dance outfit scored a hit in its homeland with this, its debut full-length release (following three EP releases since 1997). The UK music press created a publicity avalanche for the band in the Spring of 2001, as the album picked up strong reviews (quotes from some appear below) and was featured in numerous articles. Packed with over 600 samples of recordings dating from the 1950's to the present (each one credited in the liner notes!) as well as original instrumentation, 'Since I Left You' is a varied and unique record.",89,8.8,https://static.metacritic.com/images/products/music/9/60c586701a7aa57c61aa262ebe31ae55-98.jpg
Honey,Robyn,"October 26, 2018","The first full-length release in eight years for the Swedish  artist features contributions from with Joseph Mount of Metronomy, Klas Åhlund, Adam Bainbridge, Mr. Tophat, and Zhal.",89,8.5,https://static.metacritic.com/images/products/music/4/cf2b45d3e59ced7688a7b7ed389ad199-98.jpg
"Eternity, In Your Arms",Creeper,"March 24, 2017",The debut full-length release for the British punk rock band is a concept album about a paranormal investigator.,89,7.7,https://static.metacritic.com/images/products/music/1/9e068f7e4e539b9ede5dffb279dea35c-98.jpg
Kiwanuka,Michael Kiwanuka,"November 1, 2019",The third full-length release for the indie singer-songwriter was produced by by Danger Mouse and Inflo.,89,8.4,https://static.metacritic.com/images/products/music/0/032fa59c3f2a9f1abf78d6ffdae1b325-98.jpg
Modern Times,Bob Dylan,"August 29, 2006",Dylan's first studio release since his 2001 hit 'Love And Theft' is his 44th album overall.,89,8.5,https://static.metacritic.com/images/products/music/0/90beee3a1aa6851bc289e56370734138-98.jpg
That! Feels Good!,Jessie Ware,"April 28, 2023",The fifth full-length studio release from British pop singer-songwriter Jessie Ware was produced by Stuart Price.,89,8.8,https://static.metacritic.com/images/products/music/2/a11b854892001a2024f75ccd3db84203-98.jpg
Rat Saw God,Wednesday,"April 7, 2023",The latest full-length release from North Carolina's Wednesday was produced by Alex Farrar and was recorded in a week.,89,8.1,https://static.metacritic.com/images/products/music/4/4194c6da26a06ee775941de11abddd5b-98.jpg
LEGACY! LEGACY!,Jamila Woods,"May 10, 2019","The second full-length release for the Chicago R&B artist features guest appearances from Jasminfire, Nitty Scott, Saba, Nico Segal, and theMIND.",89,8.0,https://static.metacritic.com/images/products/music/8/8997c802d989e626df6025a79061e677-98.jpg
Apex Predator - Easy Meat,Napalm Death,"January 27, 2015",The 15th studio release for the British grindcore band was produced by Russ Russell.,89,7.2,https://static.metacritic.com/images/products/music/9/57d451cd3a2765ba17a089e923493ab1-98.jpg
HoboSapiens,John Cale,"September 7, 2004","Produced by Nick Franglen of Lemon Jelly, 'Hobo Sapiens' finds the 61-year-old Cale still willing to explore new musical territory. Note that none of the 12 songs here were on the ""5 Tracks"" EP released earlier in 2003.",89,8.2,https://static.metacritic.com/images/products/music/9/6e32efddb190dd2ac236d89d1f209dd1-98.jpg
