Title,Artist,ReleaseDate,Info,MetaScore,UserScore,Cover
Promises,Floating Points,"March 26, 2021","The nine-part project from Floating Points, Pharoah Sanders and the London Symphony Orchestra was recorded in Los Angeles and London.",86,7.6,https://static.metacritic.com/images/products/music/4/166dee98f283eee2aa31636ff5a791d1-98.jpg
50 Song Memoir,Magnetic Fields,"March 10, 2017","Each song represents one year in frontman Stephin Merritt's life in this 50-song, five-disc set from the indie pop band.",86,8.0,https://static.metacritic.com/images/products/music/2/818265e00b1dc128914d5f819a67cbe6-98.jpg
Heaven & Earth,Kamasi Washington,"June 22, 2018","The second full-length release for the Los Angeles jazz saxophonist features contributions from Tony Austin, Ronald Bruner, Jr., Brandon Coleman, Cameron Graves, Terrace Martin, Miles Mosley, Patrice Quinn, and Thundercat.",86,8.6,https://static.metacritic.com/images/products/music/0/8c7187d6c35bcc056f635bd273378b94-98.jpg
Halcyon Digest,Deerhunter,"September 28, 2010","The Atlanta-based quartet's fourth album combines calm shoegaze pop and noisy punk rock to create a dreamy, psychedelic sound.",86,8.0,https://static.metacritic.com/images/products/music/3/ed523f59de61a029174911aab2c53cc7-98.jpg
Dissociation,The Dillinger Escape Plan,"October 14, 2016",The sixth and final full-length studio release for the New Jersey mathcore band.,86,7.1,https://static.metacritic.com/images/products/music/8/5b61f62edbbdde7993161e72acb94e0f-98.jpg
Dark Energy,Jlin,"March 24, 2015","This is the debut full-length release for the Gary, Indiana electronic producer.",86,8.3,https://static.metacritic.com/images/products/music/9/1a1e553d45349f1a62d968fbf04c83a8-98.jpg
The Great White Sea Eagle,James Yorkston,"January 13, 2023",The Cardigans' Nina Persson joins the latest full-length release for Scottish singer-songwriter James Yorkston and The Second Hand Orchestra.,86,8.5,https://static.metacritic.com/images/products/music/4/6e5973018df36dffca023337807e1cac-98.jpg
Radyo Siwèl,Mélissa Laveaux,"March 23, 2018",The fourth full-length release for the Canadian-born artist was influenced by her Haitian heritage.,86,7.8,https://static.metacritic.com/images/products/music/7/b5d1b476ea937fb4b2375a95c9b09a7c-98.jpg
Floreat,Mara Carlyle,"August 30, 2011",The British singer-songwriter's second album produced by Dan Carey was delayed for three years after EMI took over her previous record label.,86,7.8,https://static.metacritic.com/images/products/music/0/4dfcbd45d27cbb08ccbcb82aef78c9c8-98.jpg
'Sno Angel Like You,Howe Gelb,"March 21, 2006",The Giant Sand leader is backed by an eight-member gospel choir on this 14-track set.,86,7.5,https://static.metacritic.com/images/products/music/4/0c598dbbf380b7077919f7654d121ed6-98.jpg
Beautifully Human: Words And Sounds Vol. 2,Jill Scott,"August 31, 2004",The soul singer returns with a follow-up to her Grammy-nominated debut.,86,8.5,https://static.metacritic.com/images/products/music/3/476cf35dcf2280479e82d2db2de0a88b-98.jpg
Welcome Interstate Managers,Fountains of Wayne,"June 10, 2003","The New York-based indie-pop band, led by Adam Schlesinger and Chris Collingwood, returns with a long-awaited third LP.",86,8.6,https://static.metacritic.com/images/products/music/4/b0b6f8f5272f2e2d071bf6b5f5f6c1f8-98.jpg
Midwest Farmer's Daughter,Margo Price,"March 25, 2016",The debut full-length release for the country singer-songwriter was recorded at Sun Studios in Memphis.,86,8.5,https://static.metacritic.com/images/products/music/1/156a5bc364896c954440e6898e7f2e59-98.jpg
